                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2859,                  1.728,                 1.5926,                0.31355,                0.46078,                0.27051,                0.17489,                 1.2086,                 102.38,                 1.4027,             0.00066314,             0.00066314,             0.00066314
                      2,                  1.389,                 1.5954,                 1.6474,                0.39817,                0.44308,                0.33647,                 0.1949,                 1.2264,                 74.929,                 1.3924,              0.0013079,              0.0013079,              0.0013079
                      3,                 1.3544,                 1.5349,                 1.6342,                0.32023,                0.56392,                0.30309,                0.19394,                 1.1392,                 132.83,                 1.2991,              0.0019306,              0.0019306,              0.0019306
                      4,                 1.3242,                 1.4967,                 1.6061,                 0.5661,                0.56918,                0.57525,                0.37474,                0.99746,                 43.155,                 1.1836,               0.001901,               0.001901,               0.001901
                      5,                 1.2637,                 1.4215,                 1.5513,                0.42052,                0.58588,                0.43543,                0.30198,                 1.0619,                 95.779,                 1.2224,               0.001901,               0.001901,               0.001901
                      6,                 1.1985,                 1.3232,                 1.4905,                0.56959,                0.67601,                0.59803,                0.41309,                 0.9963,                 5.9386,                 1.1875,               0.001868,               0.001868,               0.001868
                      7,                 1.1823,                 1.2658,                 1.4831,                0.65334,                0.66342,                0.66262,                0.47424,                0.91145,                 45.978,                 1.1133,               0.001835,               0.001835,               0.001835
                      8,                 1.1622,                 1.2762,                  1.464,                0.52553,                0.53733,                0.54316,                0.36432,                 1.1976,                 42.697,                 1.3131,               0.001802,               0.001802,               0.001802
                      9,                 1.1175,                 1.1797,                 1.4275,                0.61036,                0.69352,                  0.672,                0.48721,                0.90176,                 7.3897,                 1.1097,               0.001769,               0.001769,               0.001769
                     10,                 1.1015,                 1.1359,                 1.4119,                0.64762,                0.74956,                0.71971,                0.51125,                0.90817,                 16.009,                 1.1422,               0.001736,               0.001736,               0.001736
                     11,                 1.0757,                 1.1182,                 1.3997,                0.65366,                0.71979,                0.72733,                  0.525,                0.88684,                 68.399,                 1.0927,               0.001703,               0.001703,               0.001703
                     12,                 1.0784,                 1.0844,                   1.39,                 0.6985,                0.71814,                0.77215,                0.56436,                0.89213,                 3.5093,                 1.0875,                0.00167,                0.00167,                0.00167
                     13,                 1.0738,                 1.0734,                 1.3829,                0.52057,                0.57793,                0.54575,                0.36517,                 1.0967,                 102.35,                 1.2434,               0.001637,               0.001637,               0.001637
                     14,                 1.0463,                 1.0417,                 1.3584,                0.74246,                0.67776,                0.75357,                0.55255,                0.89848,                 5.3072,                 1.0985,               0.001604,               0.001604,               0.001604
                     15,                 1.0311,                 1.0043,                  1.362,                0.73613,                0.73284,                0.76668,                0.56884,                0.87356,                 25.885,                 1.0957,               0.001571,               0.001571,               0.001571
                     16,                 1.0441,                  1.028,                 1.3822,                0.78244,                0.68476,                0.76219,                0.56126,                0.89115,                 9.2302,                 1.1095,               0.001538,               0.001538,               0.001538
                     17,                 1.0336,                 1.0429,                  1.369,                0.62333,                0.70228,                0.68822,                0.50129,                0.87662,                 51.588,                 1.0722,               0.001505,               0.001505,               0.001505
                     18,                0.99963,                0.97518,                 1.3228,                0.73631,                0.66507,                0.73942,                0.55125,                0.87773,                 33.349,                 1.0928,               0.001472,               0.001472,               0.001472
                     19,                 1.0066,                 0.9561,                 1.3436,                0.72777,                0.73555,                0.78167,                0.58362,                0.86824,                 49.834,                  1.083,               0.001439,               0.001439,               0.001439
                     20,                0.99078,                0.90765,                 1.3278,                0.71358,                0.71979,                0.78384,                0.56491,                0.83588,                 3.4752,                 1.0576,               0.001406,               0.001406,               0.001406
                     21,                0.97764,                0.92323,                 1.3224,                0.65607,                 0.7338,                 0.7286,                0.53801,                0.85823,                 13.335,                 1.0771,               0.001373,               0.001373,               0.001373
                     22,                0.96607,                0.88498,                 1.3202,                0.78628,                0.71103,                0.76554,                0.58007,                0.84327,                 15.172,                  1.072,                0.00134,                0.00134,                0.00134
                     23,                0.95993,                0.86671,                 1.3123,                0.74103,                0.77583,                0.80842,                0.59565,                 0.8481,                 9.4038,                 1.0717,               0.001307,               0.001307,               0.001307
                     24,                0.94125,                0.84783,                 1.2857,                0.81364,                0.79335,                0.84204,                0.62657,                0.87514,                 15.257,                 1.0731,               0.001274,               0.001274,               0.001274
                     25,                 0.9456,                0.84273,                 1.2905,                0.77517,                0.76079,                0.80246,                0.59776,                0.84509,                 17.677,                  1.068,               0.001241,               0.001241,               0.001241
                     26,                0.93929,                0.81926,                 1.2896,                0.70384,                 0.7951,                0.80242,                0.59984,                0.85471,                 3.0898,                  1.072,               0.001208,               0.001208,               0.001208
                     27,                0.91645,                0.82536,                  1.275,                0.78107,                 0.7338,                0.81199,                 0.6178,                0.82314,                 5.7958,                 1.0409,               0.001175,               0.001175,               0.001175
                     28,                0.93676,                0.85392,                 1.2842,                0.72038,                0.74431,                0.75612,                0.57152,                 0.8561,                 7.2301,                  1.074,               0.001142,               0.001142,               0.001142
                     29,                0.90652,                0.77506,                 1.2652,                0.81744,                0.81261,                 0.8477,                0.62549,                0.83752,                 8.3531,                 1.0571,               0.001109,               0.001109,               0.001109
                     30,                0.90374,                0.77815,                 1.2619,                 0.7735,                0.78946,                 0.8274,                 0.6194,                0.86187,                 15.842,                 1.0925,               0.001076,               0.001076,               0.001076
                     31,                0.88429,                0.72956,                   1.24,                0.76747,                0.77758,                0.83007,                0.62029,                 0.8513,                 1.9531,                 1.0575,               0.001043,               0.001043,               0.001043
                     32,                0.89339,                0.76793,                  1.249,                0.80375,                 0.7268,                0.80503,                0.61088,                0.84725,                 24.943,                 1.0534,                0.00101,                0.00101,                0.00101
                     33,                 0.8778,                0.75384,                 1.2428,                0.83205,                0.77583,                0.84557,                0.62855,                0.85832,                  4.926,                 1.0737,               0.000977,               0.000977,               0.000977
                     34,                0.86365,                0.72125,                 1.2323,                0.79359,                0.78109,                 0.8336,                0.63048,                0.85053,                 6.5601,                 1.0612,               0.000944,               0.000944,               0.000944
                     35,                0.85928,                0.70414,                  1.235,                0.75316,                0.74431,                0.77896,                0.60235,                0.83676,                  4.488,                 1.0663,               0.000911,               0.000911,               0.000911
                     36,                0.84748,                0.70101,                 1.2291,                0.79775,                0.77583,                0.81535,                0.62607,                0.82057,                 3.0909,                 1.0478,               0.000878,               0.000878,               0.000878
                     37,                0.84199,                 0.6802,                 1.2223,                0.78205,                0.78459,                0.82325,                 0.6219,                  0.822,                 7.1666,                 1.0665,               0.000845,               0.000845,               0.000845
                     38,                0.84493,                0.67551,                 1.2215,                0.81339,                0.77583,                0.83642,                0.63962,                0.82754,                 6.0707,                 1.0497,               0.000812,               0.000812,               0.000812
                     39,                0.83447,                0.66756,                 1.2197,                 0.7991,                0.77583,                0.82155,                0.63734,                0.81833,                 2.7623,                  1.041,               0.000779,               0.000779,               0.000779
                     40,                0.80854,                0.65113,                 1.1992,                0.77874,                0.78109,                0.82977,                0.63385,                0.84222,                 12.702,                 1.0571,               0.000746,               0.000746,               0.000746
                     41,                0.80718,                0.63577,                 1.1955,                0.78583,                0.72504,                0.80799,                0.62494,                0.83361,                 9.3565,                 1.0512,               0.000713,               0.000713,               0.000713
                     42,                0.80173,                0.63552,                 1.1959,                0.80664,                 0.8056,                0.84921,                0.65393,                0.82596,                 11.664,                 1.0498,                0.00068,                0.00068,                0.00068
                     43,                0.79965,                0.63022,                 1.1994,                0.82098,                0.78459,                0.83767,                0.64388,                0.82905,                 4.2125,                  1.055,               0.000647,               0.000647,               0.000647
                     44,                0.78355,                0.61053,                 1.1814,                0.84679,                0.76465,                0.83821,                0.64501,                0.82809,                 4.2755,                 1.0622,               0.000614,               0.000614,               0.000614
                     45,                0.77342,                0.58773,                 1.1739,                0.83834,                0.74606,                0.80872,                0.62594,                0.83107,                 11.196,                 1.0597,               0.000581,               0.000581,               0.000581
                     46,                0.75522,                0.57597,                  1.159,                  0.808,                0.74606,                0.80417,                0.62367,                0.82272,                 2.5758,                 1.0428,               0.000548,               0.000548,               0.000548
                     47,                0.75873,                0.59392,                 1.1695,                0.78041,                0.81436,                0.83244,                0.64115,                0.82209,                 3.6389,                 1.0488,               0.000515,               0.000515,               0.000515
