                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4855,                 1.9965,                  1.739,                0.35153,                0.45709,                0.33847,                0.16996,                 1.6939,                 5.9455,                 2.0835,             0.00066316,             0.00066316,             0.00066316
                      2,                 1.5469,                 1.9445,                 1.7727,                0.35222,                0.35582,                0.30007,                0.12965,                 1.9122,                 2.3651,                 2.1367,              0.0013079,              0.0013079,              0.0013079
                      3,                 1.5559,                 1.8433,                 1.7646,                0.46569,                 0.5712,                0.44581,                0.23412,                 1.6346,                 2.5602,                 1.8577,              0.0019306,              0.0019306,              0.0019306
                      4,                 1.4813,                 1.7651,                 1.7129,                0.39919,                 0.4928,                0.34271,                0.19784,                 1.6719,                 3.8262,                 1.9267,               0.001901,               0.001901,               0.001901
                      5,                 1.4337,                  1.658,                 1.6755,                0.61735,                0.57823,                0.58478,                 0.3627,                 1.3522,                 1.6072,                 1.6594,               0.001901,               0.001901,               0.001901
                      6,                 1.3941,                 1.5917,                 1.6373,                0.59068,                 0.6896,                0.62832,                0.39264,                 1.3512,                 1.7926,                  1.642,               0.001868,               0.001868,               0.001868
                      7,                 1.3748,                 1.5507,                 1.6276,                   0.42,                 0.6336,                0.43208,                 0.2517,                  1.341,                 2.1956,                 1.6803,               0.001835,               0.001835,               0.001835
                      8,                 1.3219,                 1.4448,                 1.5871,                0.53913,                 0.6592,                0.62012,                0.39135,                 1.3442,                 1.5151,                 1.6326,               0.001802,               0.001802,               0.001802
                      9,                 1.3214,                 1.4686,                 1.5762,                0.57456,                  0.656,                0.61875,                0.40035,                 1.2787,                 1.5904,                 1.5862,               0.001769,               0.001769,               0.001769
                     10,                 1.2736,                 1.3839,                 1.5398,                0.52101,                 0.6912,                0.57329,                 0.3781,                 1.2325,                 2.1443,                 1.5577,               0.001736,               0.001736,               0.001736
                     11,                 1.2779,                   1.39,                 1.5587,                0.63706,                 0.6416,                0.68022,                0.45102,                 1.1796,                 1.3517,                 1.5094,               0.001703,               0.001703,               0.001703
                     12,                 1.2442,                 1.2819,                 1.5022,                0.65996,                0.54965,                 0.6052,                0.40294,                 1.1962,                 1.5544,                 1.5359,                0.00167,                0.00167,                0.00167
                     13,                 1.2547,                 1.3082,                 1.5331,                0.62384,                0.72174,                0.64057,                0.42158,                 1.2351,                 1.6117,                 1.5548,               0.001637,               0.001637,               0.001637
                     14,                  1.216,                 1.2851,                 1.4856,                0.61573,                0.63838,                0.61615,                 0.4194,                 1.1986,                 1.3898,                 1.5234,               0.001604,               0.001604,               0.001604
                     15,                 1.2141,                 1.2201,                 1.4993,                0.68924,                 0.6608,                0.69207,                0.46368,                 1.2174,                 1.3605,                 1.5326,               0.001571,               0.001571,               0.001571
                     16,                 1.1878,                 1.2298,                 1.4683,                0.56406,                 0.6352,                0.62396,                0.40175,                 1.2666,                 1.3882,                 1.5602,               0.001538,               0.001538,               0.001538
                     17,                 1.1514,                 1.1794,                 1.4534,                 0.6666,                 0.6928,                0.67326,                0.47339,                   1.13,                 1.2997,                 1.4991,               0.001505,               0.001505,               0.001505
                     18,                 1.1614,                 1.1738,                 1.4525,                0.70309,                 0.6864,                0.71305,                0.47627,                 1.2339,                 1.2283,                 1.5479,               0.001472,               0.001472,               0.001472
                     19,                 1.1418,                 1.1124,                 1.4365,                0.70218,                 0.7232,                0.76365,                0.53205,                 1.1614,                 1.3065,                 1.5022,               0.001439,               0.001439,               0.001439
                     20,                 1.1319,                  1.117,                 1.4241,                0.69556,                0.61414,                0.65278,                0.45079,                 1.1189,                 1.3713,                 1.4886,               0.001406,               0.001406,               0.001406
                     21,                 1.1166,                 1.1022,                 1.4109,                0.76061,                 0.6272,                0.69976,                0.48021,                  1.166,                 1.2573,                 1.5087,               0.001373,               0.001373,               0.001373
                     22,                 1.1175,                 1.0843,                 1.4126,                0.72948,                 0.6672,                0.72417,                0.49495,                 1.1456,                 1.1958,                 1.4851,                0.00134,                0.00134,                0.00134
                     23,                 1.1376,                 1.0588,                 1.4251,                0.62751,                 0.7472,                0.67273,                0.47637,                 1.1042,                 1.7004,                 1.4363,               0.001307,               0.001307,               0.001307
                     24,                 1.1011,                 1.0818,                 1.3972,                0.71107,                 0.6944,                0.71159,                0.50384,                 1.1062,                 1.3097,                 1.4588,               0.001274,               0.001274,               0.001274
                     25,                 1.0953,                 1.0413,                 1.4031,                0.72652,                0.70983,                0.72589,                0.51774,                  1.066,                 1.2559,                 1.4163,               0.001241,               0.001241,               0.001241
                     26,                 1.0757,                 1.0572,                 1.3971,                0.71696,                 0.6864,                0.72814,                0.50919,                 1.1305,                 1.3443,                 1.4812,               0.001208,               0.001208,               0.001208
                     27,                 1.0709,                 1.0358,                 1.3834,                0.68863,                 0.7328,                0.72153,                0.51139,                 1.0782,                 1.2787,                 1.4401,               0.001175,               0.001175,               0.001175
                     28,                 1.0559,                 1.0226,                  1.365,                0.75199,                  0.744,                0.74289,                0.53158,                 1.1057,                 1.2764,                 1.4391,               0.001142,               0.001142,               0.001142
                     29,                 1.0615,                 1.0003,                 1.3495,                0.66493,                  0.792,                0.74404,                0.52647,                  1.151,                  1.338,                 1.5114,               0.001109,               0.001109,               0.001109
