                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4073,                 1.5295,                  1.398,                0.41351,                0.46047,                0.43036,                0.23856,                 1.6164,                 4.1797,                 1.5786,             0.00066294,             0.00066294,             0.00066294
                      2,                 1.5139,                 1.4538,                 1.4626,                0.58896,                0.58354,                0.53617,                0.28164,                 1.5822,                 2.6101,                 1.5751,              0.0013077,              0.0013077,              0.0013077
                      3,                 1.5266,                 1.4224,                 1.4735,                0.62799,                0.65626,                0.64479,                0.34532,                 1.4762,                 3.5187,                 1.4456,              0.0019304,              0.0019304,              0.0019304
                      4,                 1.4757,                 1.2952,                 1.4456,                0.55016,                0.59739,                0.54532,                0.30926,                 1.5305,                 2.6255,                 1.4533,               0.001901,               0.001901,               0.001901
                      5,                 1.4405,                 1.2425,                 1.4157,                0.77324,                0.70905,                0.77592,                0.41566,                 1.4751,                 1.3728,                 1.4766,               0.001901,               0.001901,               0.001901
                      6,                 1.3945,                 1.1931,                 1.4041,                0.75371,                0.67726,                0.74487,                0.42672,                 1.4719,                 1.2343,                 1.4529,               0.001868,               0.001868,               0.001868
                      7,                 1.3946,                 1.1493,                 1.3901,                0.74319,                0.66667,                0.70188,                0.39816,                 1.5062,                 1.6745,                 1.5038,               0.001835,               0.001835,               0.001835
                      8,                 1.3794,                 1.1236,                 1.3915,                0.78218,                0.70986,                0.79796,                0.44142,                 1.4049,                 1.2095,                 1.3985,               0.001802,               0.001802,               0.001802
                      9,                 1.3225,                  1.091,                 1.3578,                0.74838,                 0.6448,                0.70425,                0.40493,                 1.4444,                 1.6346,                 1.4358,               0.001769,               0.001769,               0.001769
                     10,                 1.3473,                 1.0455,                 1.3725,                 0.8226,                0.73187,                0.82208,                0.45149,                 1.4447,                 1.1794,                 1.4594,               0.001736,               0.001736,               0.001736
                     11,                 1.3174,                 1.0088,                 1.3376,                0.79668,                0.74728,                0.81362,                0.47176,                 1.3732,                 1.0221,                 1.3692,               0.001703,               0.001703,               0.001703
                     12,                 1.3269,                0.98474,                 1.3212,                0.73638,                0.71258,                0.74569,                0.44473,                 1.3769,                 1.2592,                 1.3774,                0.00167,                0.00167,                0.00167
                     13,                 1.2806,                0.99847,                 1.3271,                0.82072,                0.74491,                 0.8228,                0.47378,                 1.3724,                 1.1801,                   1.37,               0.001637,               0.001637,               0.001637
                     14,                 1.2757,                0.97883,                 1.3247,                0.78075,                 0.7824,                 0.8125,                0.47993,                 1.3287,                 1.1218,                 1.3508,               0.001604,               0.001604,               0.001604
