                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3763,                 1.3401,                 1.3826,                0.40562,                0.36763,                0.33612,                0.17446,                 1.5491,                 3.5662,                 1.5513,             0.00066333,             0.00066333,             0.00066333
                      2,                 1.4923,                 1.2978,                 1.4799,                0.36763,                0.64277,                 0.4757,                0.29058,                 1.3009,                 30.019,                 1.3906,              0.0013081,              0.0013081,              0.0013081
                      3,                 1.4791,                 1.2592,                 1.4572,                0.44816,                0.42312,                0.38504,                0.18787,                 1.6266,                 6.6959,                 1.6463,              0.0019308,              0.0019308,              0.0019308
                      4,                 1.4323,                 1.2438,                  1.426,                0.59507,                 0.6235,                0.61719,                0.37996,                 1.2109,                 3.8001,                 1.2995,               0.001901,               0.001901,               0.001901
                      5,                 1.4053,                 1.1056,                 1.3952,                0.65455,                0.67283,                0.68712,                0.39657,                 1.2336,                 2.9804,                 1.3426,               0.001901,               0.001901,               0.001901
                      6,                  1.385,                 1.0541,                 1.3839,                0.68742,                0.73295,                0.72932,                0.43859,                 1.2103,                 5.5391,                 1.3102,               0.001868,               0.001868,               0.001868
                      7,                 1.3502,                 1.0447,                 1.3716,                0.70836,                0.74798,                0.76757,                0.47757,                 1.1704,                 2.4761,                 1.2458,               0.001835,               0.001835,               0.001835
                      8,                 1.3385,                0.97883,                 1.3582,                0.67543,                0.69595,                0.71261,                0.45743,                 1.1518,                 4.4926,                 1.2826,               0.001802,               0.001802,               0.001802
                      9,                  1.309,                0.97658,                 1.3609,                0.69527,                0.76647,                  0.774,                0.48125,                 1.1247,                 1.7352,                  1.227,               0.001769,               0.001769,               0.001769
                     10,                 1.2721,                 1.0004,                 1.3262,                0.71573,                0.71098,                0.76377,                0.47803,                 1.1814,                  4.314,                 1.2928,               0.001736,               0.001736,               0.001736
                     11,                 1.2689,                0.90674,                 1.3244,                0.77011,                0.72034,                0.78909,                0.49956,                  1.094,                 3.4792,                 1.2111,               0.001703,               0.001703,               0.001703
                     12,                 1.2729,                0.87434,                 1.3148,                0.60558,                0.74682,                0.67262,                0.43239,                  1.138,                 13.704,                 1.2523,                0.00167,                0.00167,                0.00167
                     13,                 1.2401,                0.87458,                 1.3073,                 0.7469,                0.76879,                0.79923,                0.49718,                   1.12,                 4.3937,                 1.2279,               0.001637,               0.001637,               0.001637
                     14,                 1.2327,                0.82782,                 1.3052,                0.76176,                0.74451,                0.81943,                0.51787,                 1.1524,                 3.1999,                 1.2474,               0.001604,               0.001604,               0.001604
                     15,                 1.2195,                0.83864,                 1.3024,                0.67918,                0.78382,                0.76499,                0.48744,                 1.1269,                 5.4803,                 1.2311,               0.001571,               0.001571,               0.001571
                     16,                  1.212,                0.82708,                 1.2874,                0.75797,                0.78204,                0.83425,                0.52889,                 1.1234,                 6.0802,                 1.2346,               0.001538,               0.001538,               0.001538
                     17,                 1.1941,                0.79066,                  1.263,                0.75194,                0.78382,                 0.8047,                0.53036,                 1.0899,                 1.0099,                 1.2159,               0.001505,               0.001505,               0.001505
                     18,                 1.2098,                0.76846,                 1.2791,                0.77149,                0.76502,                0.83762,                0.53721,                 1.1321,                 3.6248,                 1.2363,               0.001472,               0.001472,               0.001472
                     19,                 1.1865,                0.76726,                 1.2745,                0.77769,                0.79266,                0.83228,                0.53473,                 1.1018,                 4.9124,                  1.233,               0.001439,               0.001439,               0.001439
                     20,                  1.176,                0.72853,                 1.2492,                0.74151,                0.78927,                0.80163,                0.51608,                 1.1149,                 1.1807,                 1.2152,               0.001406,               0.001406,               0.001406
                     21,                 1.1619,                 0.7445,                 1.2479,                0.72542,                0.79105,                0.80515,                0.51666,                  1.124,                  1.539,                  1.228,               0.001373,               0.001373,               0.001373
                     22,                 1.1551,                0.72004,                 1.2484,                0.72188,                0.75317,                0.77791,                0.49713,                  1.123,                 4.3936,                 1.2332,                0.00134,                0.00134,                0.00134
                     23,                 1.1278,                0.73014,                 1.2345,                0.72606,                0.80277,                 0.8168,                0.52636,                 1.1015,                 1.7903,                 1.2312,               0.001307,               0.001307,               0.001307
                     24,                  1.106,                0.71023,                 1.2303,                0.76534,                0.76542,                0.81186,                0.53919,                 1.0856,                 3.3421,                 1.2146,               0.001274,               0.001274,               0.001274
                     25,                 1.1199,                0.70376,                 1.2388,                0.74932,                0.80809,                0.84361,                0.54543,                 1.0972,                 1.1951,                 1.2148,               0.001241,               0.001241,               0.001241
                     26,                  1.121,                 0.6754,                 1.2232,                0.74239,                0.80694,                0.81884,                0.51752,                 1.1482,                 3.5077,                 1.2588,               0.001208,               0.001208,               0.001208
