                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1291,                  1.782,                 1.3905,                0.28058,                 0.3006,                0.15036,                0.08229,                 2.3388,                 5.3253,                 4.8933,              0.0006634,              0.0006634,              0.0006634
                      2,                 1.2931,                 1.7482,                 1.5249,                0.54435,                0.60813,                0.56215,                0.35058,                  1.361,                 3.4287,                 1.9617,              0.0013081,              0.0013081,              0.0013081
                      3,                   1.29,                 1.6141,                 1.5393,                0.45394,                0.54762,                0.43074,                0.28598,                 1.2872,                  4.647,                 1.7562,              0.0019308,              0.0019308,              0.0019308
                      4,                  1.232,                 1.7315,                 1.4874,                0.62967,                0.67134,                0.62296,                 0.4507,                 1.0402,                 1.4937,                 1.4701,               0.001901,               0.001901,               0.001901
                      5,                 1.2056,                 1.5143,                 1.4805,                0.67973,                0.68849,                0.69309,                0.50453,                 1.0345,                 1.3795,                 1.4886,               0.001901,               0.001901,               0.001901
                      6,                 1.1472,                 1.4065,                 1.4338,                0.69655,                0.74702,                0.71982,                0.52655,                 1.0659,                 1.1582,                 1.4629,               0.001868,               0.001868,               0.001868
                      7,                 1.1233,                 1.3127,                 1.4221,                0.67081,                 0.7371,                0.72692,                0.53272,                 1.0218,                 1.0803,                 1.4521,               0.001835,               0.001835,               0.001835
                      8,                 1.1072,                 1.2986,                 1.3977,                0.69915,                0.68705,                0.74006,                0.54963,                 1.0007,                 1.2506,                 1.4262,               0.001802,               0.001802,               0.001802
                      9,                 1.0963,                 1.2926,                 1.3756,                 0.7439,                0.75595,                0.76891,                0.57815,                0.98203,                 1.0145,                 1.4114,               0.001769,               0.001769,               0.001769
                     10,                 1.0799,                 1.2333,                 1.3773,                0.68589,                0.72123,                0.72163,                0.53687,                0.96318,                 1.1409,                 1.3955,               0.001736,               0.001736,               0.001736
                     11,                 1.0774,                 1.2447,                 1.3707,                 0.7216,                 0.7457,                 0.7728,                 0.5817,                0.96157,                 1.0501,                 1.4146,               0.001703,               0.001703,               0.001703
                     12,                 1.0372,                 1.1622,                  1.337,                0.70223,                0.71528,                0.74378,                0.54501,                0.99558,                 1.1731,                  1.457,                0.00167,                0.00167,                0.00167
                     13,                 1.0215,                 1.1383,                 1.3295,                0.73808,                0.74405,                0.77735,                0.57885,                0.96006,                 1.0195,                 1.4181,               0.001637,               0.001637,               0.001637
                     14,                 1.0188,                 1.1461,                 1.3194,                0.68712,                 0.7887,                0.77786,                0.57049,                0.96819,                 1.1608,                 1.4219,               0.001604,               0.001604,               0.001604
                     15,                 1.0152,                  1.143,                 1.3376,                0.73877,                0.74347,                0.79771,                0.58691,                0.97421,                0.93509,                 1.4296,               0.001571,               0.001571,               0.001571
                     16,                0.99802,                 1.0779,                 1.3109,                0.74302,                0.72321,                0.77487,                0.59238,                 0.9242,                 1.0176,                 1.3544,               0.001538,               0.001538,               0.001538
                     17,                0.99824,                 1.1094,                 1.3253,                0.76952,                0.76885,                 0.8023,                0.60705,                0.91288,                0.90381,                 1.3491,               0.001505,               0.001505,               0.001505
                     18,                0.99902,                 1.1072,                 1.2996,                0.75284,                0.72619,                0.78847,                0.58336,                0.92845,                 0.9684,                 1.3501,               0.001472,               0.001472,               0.001472
                     19,                0.98566,                 1.0519,                 1.2931,                0.74388,                0.80456,                0.82038,                0.62599,                0.91516,                0.86443,                 1.3512,               0.001439,               0.001439,               0.001439
                     20,                0.97054,                 1.0165,                 1.2876,                0.69275,                0.76984,                0.76663,                0.58308,                0.91556,                0.94967,                 1.3646,               0.001406,               0.001406,               0.001406
