                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3893,                 1.6742,                 1.5339,                0.56284,                0.53922,                0.48711,                0.25378,                 1.5728,                 36.702,                  1.979,             0.00066343,             0.00066343,             0.00066343
                      2,                 1.4562,                 1.5731,                 1.5697,                0.37514,                0.38088,                 0.2934,                0.14858,                 1.8226,                 24.089,                  2.087,              0.0013082,              0.0013082,              0.0013082
                      3,                 1.4334,                 1.5495,                 1.5594,                0.46286,                0.60412,                0.46956,                 0.2673,                 1.2555,                 63.636,                 1.5772,              0.0019309,              0.0019309,              0.0019309
                      4,                 1.3888,                 1.4365,                 1.5287,                0.60351,                0.59636,                0.62999,                0.37782,                 1.1308,                 5.6297,                  1.534,               0.001901,               0.001901,               0.001901
                      5,                  1.352,                 1.3254,                  1.488,                0.57466,                0.48103,                0.51436,                0.30424,                 1.0492,                 6.0714,                 1.3774,               0.001901,               0.001901,               0.001901
                      6,                 1.2873,                 1.2803,                 1.4632,                0.66142,                0.74052,                0.73437,                0.46907,                  0.985,                 24.075,                 1.3262,               0.001868,               0.001868,               0.001868
                      7,                 1.2821,                 1.2552,                 1.4414,                 0.7132,                0.69803,                0.74631,                0.46029,                 1.0255,                 6.9763,                 1.3521,               0.001835,               0.001835,               0.001835
                      8,                 1.2396,                 1.1604,                 1.4222,                0.74528,                0.72838,                0.78332,                0.50884,                0.91349,                 8.4327,                 1.2684,               0.001802,               0.001802,               0.001802
                      9,                 1.2164,                 1.1108,                 1.3885,                0.79209,                0.78625,                0.84655,                0.54618,                0.98298,                 3.8496,                 1.2939,               0.001769,               0.001769,               0.001769
                     10,                 1.1847,                 1.0752,                 1.3731,                0.75807,                0.79363,                 0.8367,                0.52764,                 1.0124,                 13.775,                 1.3468,               0.001736,               0.001736,               0.001736
                     11,                 1.1803,                 1.0492,                 1.3676,                0.78068,                0.79059,                  0.851,                  0.567,                0.95054,                 9.0584,                  1.291,               0.001703,               0.001703,               0.001703
                     12,                 1.1563,                0.97729,                 1.3474,                0.81486,                 0.7997,                0.88144,                0.59204,                0.95805,                 6.6527,                 1.2625,                0.00167,                0.00167,                0.00167
                     13,                 1.1466,                0.98481,                 1.3381,                0.76452,                0.78333,                0.84995,                   0.56,                0.93201,                 6.1717,                 1.2579,               0.001637,               0.001637,               0.001637
                     14,                 1.0972,                0.94564,                 1.3082,                0.75379,                0.75873,                0.83265,                0.55638,                 0.8966,                 8.7341,                 1.2098,               0.001604,               0.001604,               0.001604
                     15,                 1.1104,                0.93833,                 1.3182,                0.75665,                0.80681,                0.86557,                0.59375,                0.89616,                 4.7292,                 1.2371,               0.001571,               0.001571,               0.001571
                     16,                 1.0907,                0.90899,                  1.308,                0.81906,                0.81744,                0.90381,                0.60486,                0.92301,                 5.3228,                 1.2725,               0.001538,               0.001538,               0.001538
                     17,                 1.0834,                0.87341,                 1.2885,                0.83343,                 0.8276,                0.88978,                 0.5906,                0.92012,                 4.1961,                  1.206,               0.001505,               0.001505,               0.001505
                     18,                 1.0697,                0.86204,                 1.2785,                0.80449,                0.82853,                0.89011,                0.61387,                0.88022,                 3.4359,                 1.2107,               0.001472,               0.001472,               0.001472
                     19,                 1.0482,                0.81875,                 1.2729,                0.84634,                0.82853,                0.90389,                0.63035,                0.90753,                 4.1417,                 1.2275,               0.001439,               0.001439,               0.001439
                     20,                 1.0405,                0.82607,                 1.2679,                0.81977,                0.80577,                0.89256,                 0.6076,                0.91066,                 3.6134,                 1.2372,               0.001406,               0.001406,               0.001406
                     21,                 1.0182,                0.79771,                 1.2539,                0.84303,                0.84757,                 0.9116,                0.63449,                0.87956,                 6.3506,                 1.2103,               0.001373,               0.001373,               0.001373
                     22,                 1.0113,                0.80276,                 1.2569,                0.84855,                 0.8088,                0.88684,                0.62666,                0.89438,                 12.256,                 1.2285,                0.00134,                0.00134,                0.00134
                     23,                 1.0087,                0.78108,                 1.2464,                0.83311,                0.77542,                0.86722,                0.61608,                0.83778,                 1.9744,                 1.1361,               0.001307,               0.001307,               0.001307
                     24,                0.99583,                0.74379,                 1.2295,                0.86764,                0.86798,                0.92821,                 0.6603,                0.84846,                  6.176,                 1.1646,               0.001274,               0.001274,               0.001274
                     25,                0.98837,                0.75074,                 1.2351,                0.82456,                0.82853,                0.91212,                0.63347,                0.86178,                 2.5629,                 1.1818,               0.001241,               0.001241,               0.001241
                     26,                0.98155,                0.73941,                 1.2235,                0.83109,                0.84522,                0.90218,                0.62454,                0.84899,                 1.2873,                 1.1724,               0.001208,               0.001208,               0.001208
                     27,                0.94746,                0.70176,                 1.2024,                0.83745,                0.80522,                0.88436,                0.62449,                0.82634,                 1.1611,                 1.1473,               0.001175,               0.001175,               0.001175
                     28,                0.94134,                0.67911,                 1.2012,                 0.8817,                0.83612,                0.93312,                0.67031,                0.83561,                  1.936,                 1.1617,               0.001142,               0.001142,               0.001142
                     29,                0.93356,                0.68242,                 1.2002,                0.85717,                0.88012,                0.91867,                0.66502,                0.84225,                 5.6751,                 1.1649,               0.001109,               0.001109,               0.001109
                     30,                 0.9126,                0.66876,                 1.1781,                0.82455,                0.85575,                0.90332,                0.63849,                0.83515,                 1.4993,                 1.1577,               0.001076,               0.001076,               0.001076
                     31,                0.91451,                0.65675,                 1.1743,                0.86252,                0.86646,                0.92359,                0.64744,                0.89478,                 1.3979,                 1.2092,               0.001043,               0.001043,               0.001043
                     32,                0.89467,                0.65131,                 1.1788,                 0.8755,                0.86433,                0.93012,                0.67225,                0.82964,                 1.5012,                 1.1545,                0.00101,                0.00101,                0.00101
                     33,                0.88069,                0.62903,                 1.1704,                0.85829,                0.79666,                0.89033,                0.63218,                0.84285,                0.97199,                  1.173,               0.000977,               0.000977,               0.000977
                     34,                0.87472,                 0.6315,                 1.1565,                0.88823,                0.85617,                0.92372,                0.67398,                0.80694,                 2.0428,                 1.1318,               0.000944,               0.000944,               0.000944
                     35,                  0.868,                0.60027,                  1.159,                0.87198,                0.86646,                0.93088,                0.67129,                 0.8252,                 3.0436,                  1.143,               0.000911,               0.000911,               0.000911
                     36,                0.84275,                0.59138,                  1.142,                0.88949,                0.86798,                0.94321,                0.68286,                0.83432,                 2.0455,                 1.1685,               0.000878,               0.000878,               0.000878
                     37,                0.83681,                0.58652,                 1.1313,                0.88205,                0.88316,                0.93954,                0.69097,                0.78867,                 1.9283,                 1.1133,               0.000845,               0.000845,               0.000845
                     38,                 0.8301,                0.57466,                 1.1377,                0.87607,                0.85584,                0.92349,                0.66333,                0.83614,                 1.4251,                 1.1629,               0.000812,               0.000812,               0.000812
                     39,                0.81951,                0.55463,                 1.1301,                0.87913,                0.88012,                0.93344,                0.68819,                0.82052,                 5.2996,                 1.1582,               0.000779,               0.000779,               0.000779
                     40,                0.79858,                0.56258,                 1.1191,                 0.8748,                0.85885,                0.93225,                0.67744,                 0.8169,                 2.4209,                 1.1352,               0.000746,               0.000746,               0.000746
                     41,                0.78878,                0.53783,                  1.109,                0.88906,                0.86798,                0.93976,                0.68886,                0.80384,                  1.606,                 1.1279,               0.000713,               0.000713,               0.000713
                     42,                 0.7749,                0.53026,                 1.1113,                0.89647,                0.84674,                0.93294,                0.68708,                0.81112,                 2.2584,                 1.1409,                0.00068,                0.00068,                0.00068
                     43,                0.76518,                0.51726,                 1.0889,                0.86576,                0.86495,                0.92506,                0.66919,                0.81123,                 1.0322,                 1.1466,               0.000647,               0.000647,               0.000647
