                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3705,                 1.6492,                 1.4874,                0.03307,                0.67084,                0.02753,                0.01385,                 1.6232,                    inf,                 2.0446,             0.00066345,             0.00066345,             0.00066345
                      2,                 1.4527,                 1.5459,                 1.5713,                0.35841,                0.51699,                0.33913,                 0.2014,                 1.4017,                 9.9755,                 1.6278,              0.0013082,              0.0013082,              0.0013082
                      3,                 1.3996,                 1.4768,                 1.5226,                0.29042,                0.49934,                0.27252,                0.14711,                 1.6371,                 18.209,                 1.7048,              0.0019309,              0.0019309,              0.0019309
                      4,                 1.3522,                 1.4112,                 1.4879,                 0.4451,                0.65146,                0.51728,                0.32876,                 1.3106,                 3.9359,                 1.4666,               0.001901,               0.001901,               0.001901
                      5,                 1.2977,                 1.3454,                 1.4388,                0.52782,                0.52415,                0.54322,                0.31575,                 1.2264,                 2.2803,                 1.4264,               0.001901,               0.001901,               0.001901
                      6,                 1.2699,                 1.2432,                 1.4102,                0.64136,                0.62433,                0.67251,                0.40673,                  1.205,                 2.6548,                 1.4443,               0.001868,               0.001868,               0.001868
                      7,                 1.2356,                 1.1688,                 1.3875,                0.65793,                0.62623,                 0.6856,                0.42483,                 1.2235,                 2.1635,                  1.404,               0.001835,               0.001835,               0.001835
                      8,                 1.2228,                 1.1272,                 1.3755,                0.62042,                0.63864,                0.64793,                0.41472,                 1.1724,                 3.2371,                 1.3737,               0.001802,               0.001802,               0.001802
                      9,                 1.2006,                 1.1337,                 1.3662,                0.61531,                0.66098,                0.67618,                0.40766,                 1.1527,                 2.2161,                 1.3341,               0.001769,               0.001769,               0.001769
                     10,                  1.156,                 1.0536,                 1.3362,                0.60903,                0.76355,                0.69266,                0.46633,                 1.1078,                  2.154,                 1.3154,               0.001736,               0.001736,               0.001736
                     11,                 1.1571,                 1.0906,                 1.3328,                0.63552,                0.67263,                0.67894,                0.44794,                 1.0807,                 2.4333,                  1.298,               0.001703,               0.001703,               0.001703
                     12,                 1.1552,                 1.0315,                 1.3323,                0.60439,                0.64222,                0.68377,                0.42388,                 1.1007,                 1.5433,                 1.2905,                0.00167,                0.00167,                0.00167
                     13,                 1.1542,                 1.0282,                 1.3231,                0.70812,                 0.7102,                 0.7758,                0.49166,                 1.1535,                 1.6926,                 1.3543,               0.001637,               0.001637,               0.001637
                     14,                  1.132,                0.97655,                 1.3134,                 0.6629,                0.78096,                0.76744,                0.52312,                   1.09,                 2.0507,                 1.2824,               0.001604,               0.001604,               0.001604
                     15,                 1.1134,                0.94202,                 1.3148,                0.63925,                 0.6458,                0.68706,                0.44665,                 1.0913,                 2.3609,                 1.2894,               0.001571,               0.001571,               0.001571
                     16,                 1.1085,                0.94134,                  1.313,                0.69876,                0.72093,                 0.7587,                0.51005,                 1.1247,                 1.7139,                 1.3226,               0.001538,               0.001538,               0.001538
                     17,                 1.1214,                0.91761,                 1.2913,                0.61702,                0.69767,                0.68193,                0.46243,                 1.1038,                 1.8652,                 1.3002,               0.001505,               0.001505,               0.001505
                     18,                  1.093,                  0.902,                 1.2844,                0.71252,                0.75375,                0.77974,                0.51639,                 1.0264,                  1.497,                 1.2481,               0.001472,               0.001472,               0.001472
                     19,                 1.0656,                0.86422,                  1.264,                0.58349,                0.68416,                0.59912,                0.41982,                 1.0685,                  3.663,                 1.2695,               0.001439,               0.001439,               0.001439
                     20,                 1.0601,                 0.8562,                 1.2618,                 0.7445,                0.79606,                0.82029,                0.56241,                 1.0627,                 2.0561,                 1.2536,               0.001406,               0.001406,               0.001406
                     21,                  1.053,                0.83059,                 1.2584,                0.72953,                0.76744,                0.82015,                0.55607,                 1.0786,                 1.8539,                 1.2803,               0.001373,               0.001373,               0.001373
                     22,                 1.0497,                0.81539,                   1.26,                   0.72,                 0.7102,                0.78316,                0.53107,                 1.0505,                 1.3275,                 1.2737,                0.00134,                0.00134,                0.00134
                     23,                 1.0503,                0.82104,                 1.2602,                0.70582,                0.75112,                0.77893,                0.53754,                 1.0598,                 1.5373,                 1.2609,               0.001307,               0.001307,               0.001307
                     24,                 1.0432,                0.79916,                 1.2532,                0.65829,                0.72987,                0.72654,                0.50342,                 1.0416,                 1.6456,                  1.251,               0.001274,               0.001274,               0.001274
                     25,                 1.0372,                0.77432,                 1.2451,                0.73384,                0.71519,                0.77939,                0.54497,                 1.0689,                 1.8159,                 1.2632,               0.001241,               0.001241,               0.001241
                     26,                 1.0231,                0.77704,                  1.229,                0.67934,                0.77316,                0.77785,                0.52441,                 1.0086,                 1.7756,                 1.2336,               0.001208,               0.001208,               0.001208
                     27,                0.99854,                0.77225,                 1.2212,                0.72809,                 0.7102,                0.77115,                0.53813,                 1.0799,                 1.8636,                 1.2866,               0.001175,               0.001175,               0.001175
                     28,                 1.0026,                0.76889,                 1.2312,                0.73625,                0.76208,                0.80653,                0.56146,                 1.0042,                 1.4851,                 1.2361,               0.001142,               0.001142,               0.001142
                     29,                0.98938,                0.75495,                  1.221,                0.66311,                0.67621,                0.72948,                0.47994,                 1.0578,                 1.7854,                 1.2647,               0.001109,               0.001109,               0.001109
                     30,                0.98268,                0.72334,                 1.2081,                0.74536,                0.81395,                0.85142,                0.58134,                 1.0463,                 1.0764,                 1.2618,               0.001076,               0.001076,               0.001076
                     31,                0.97547,                0.72162,                 1.2149,                0.71309,                0.67621,                0.76524,                0.52366,                 1.0516,                 1.5917,                 1.2592,               0.001043,               0.001043,               0.001043
                     32,                0.97122,                0.68705,                 1.2021,                0.74105,                0.72093,                0.79756,                 0.5476,                 1.0624,                 1.6007,                 1.2575,                0.00101,                0.00101,                0.00101
                     33,                0.97686,                0.70294,                 1.2113,                0.74887,                0.78712,                0.83154,                0.55608,                 1.0416,                 1.2991,                 1.2828,               0.000977,               0.000977,               0.000977
                     34,                0.94818,                0.68004,                 1.1928,                0.79054,                0.75492,                0.84366,                0.58248,                 1.0155,                 1.1394,                 1.2398,               0.000944,               0.000944,               0.000944
                     35,                0.94363,                0.66232,                 1.1791,                0.79585,                0.73225,                0.82918,                0.58063,                 1.0053,                 1.1332,                 1.2266,               0.000911,               0.000911,               0.000911
                     36,                0.92669,                0.66987,                 1.1721,                0.74164,                0.78056,                0.82765,                0.58463,                 1.0237,                 1.5332,                  1.243,               0.000878,               0.000878,               0.000878
                     37,                0.92761,                0.65902,                 1.1771,                0.74702,                0.79428,                0.83603,                0.59028,                 1.0144,                 1.3644,                 1.2397,               0.000845,               0.000845,               0.000845
                     38,                0.92309,                0.64119,                 1.1724,                0.71504,                0.78533,                0.81878,                0.58738,                 1.0147,                 1.8359,                 1.2529,               0.000812,               0.000812,               0.000812
                     39,                0.91924,                0.63678,                 1.1732,                0.73937,                0.79964,                0.82739,                0.57684,                0.99632,                 1.4555,                 1.2334,               0.000779,               0.000779,               0.000779
                     40,                0.89561,                0.63647,                 1.1699,                0.74636,                0.77381,                0.83798,                0.58922,                 1.0007,                 1.3281,                 1.2346,               0.000746,               0.000746,               0.000746
                     41,                0.88415,                0.61181,                 1.1618,                0.79912,                0.71199,                0.81798,                 0.5719,                 1.0178,                  1.571,                 1.2359,               0.000713,               0.000713,               0.000713
                     42,                0.89487,                  0.606,                 1.1486,                0.78765,                0.77634,                0.83775,                0.57995,                  1.008,                  1.312,                 1.2347,                0.00068,                0.00068,                0.00068
                     43,                0.87214,                0.59893,                 1.1412,                0.78675,                0.74061,                0.83499,                 0.5829,                 1.0218,                 1.3409,                  1.239,               0.000647,               0.000647,               0.000647
                     44,                0.88144,                  0.591,                 1.1515,                0.78458,                0.72322,                0.81053,                0.56937,                0.97107,                 1.5465,                 1.2063,               0.000614,               0.000614,               0.000614
                     45,                0.85701,                0.57126,                 1.1285,                0.79779,                0.75313,                 0.8398,                 0.5872,                0.98912,                 1.3227,                  1.213,               0.000581,               0.000581,               0.000581
                     46,                0.87284,                0.56934,                 1.1268,                0.72711,                0.77818,                0.81677,                0.57163,                 0.9971,                 1.6939,                 1.2196,               0.000548,               0.000548,               0.000548
                     47,                0.85478,                0.55695,                 1.1281,                0.83341,                0.74419,                0.84089,                0.59634,                0.99523,                 1.5118,                 1.2254,               0.000515,               0.000515,               0.000515
                     48,                0.82892,                0.54628,                 1.1174,                0.75337,                0.74061,                0.81593,                0.56179,                 1.0282,                 1.8112,                 1.2512,               0.000482,               0.000482,               0.000482
                     49,                 0.8351,                0.54398,                 1.1157,                 0.7997,                0.75134,                0.84997,                0.60797,                0.99896,                 1.4154,                 1.2153,               0.000449,               0.000449,               0.000449
                     50,                0.82747,                0.53034,                 1.1119,                0.77786,                0.76424,                0.84388,                 0.6121,                 1.0049,                 1.5482,                 1.2305,               0.000416,               0.000416,               0.000416
                     51,                0.78868,                0.50661,                 1.1094,                0.80174,                0.75313,                0.84975,                0.61574,                0.99526,                 1.1028,                 1.2268,               0.000383,               0.000383,               0.000383
                     52,                0.76922,                0.46386,                 1.0953,                0.73944,                 0.8068,                0.84208,                0.59425,                 1.0314,                 1.6287,                 1.2427,                0.00035,                0.00035,                0.00035
                     53,                0.74946,                0.46173,                 1.0833,                0.80162,                0.73008,                0.82562,                0.59841,                 1.0013,                  1.491,                 1.2266,               0.000317,               0.000317,               0.000317
                     54,                0.74359,                0.45193,                 1.0719,                 0.8343,                0.77459,                0.85976,                0.61436,                 1.0014,                 1.3899,                  1.222,               0.000284,               0.000284,               0.000284
                     55,                0.73031,                0.44397,                 1.0724,                0.79843,                0.78652,                0.85818,                 0.6117,                0.99204,                 1.2249,                 1.2272,               0.000251,               0.000251,               0.000251
                     56,                0.71959,                0.42833,                 1.0665,                0.77747,                0.76923,                 0.8484,                0.60983,                0.99322,                 1.2675,                 1.2286,               0.000218,               0.000218,               0.000218
                     57,                0.71212,                0.42135,                 1.0574,                0.79256,                0.76552,                 0.8443,                0.61825,                0.97931,                 1.3117,                 1.2226,               0.000185,               0.000185,               0.000185
                     58,                0.70793,                0.40573,                 1.0553,                0.75631,                0.81932,                0.85083,                0.61751,                0.97923,                 1.3037,                 1.2145,               0.000152,               0.000152,               0.000152
                     59,                0.71103,                0.40161,                 1.0611,                0.76887,                0.82121,                0.84987,                0.61254,                0.99532,                 1.4831,                 1.2255,               0.000119,               0.000119,               0.000119
                     60,                0.69036,                0.39656,                 1.0436,                0.76067,                0.79606,                0.85023,                 0.6208,                0.98587,                 1.3486,                 1.2167,                8.6e-05,                8.6e-05,                8.6e-05
