                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6527,                 1.3174,                 1.6649,                0.74126,                 0.5153,                0.58747,                0.30869,                 1.4576,                 3.9948,                 1.5996,             0.00066423,             0.00066423,             0.00066423
                      2,                 1.6761,                 1.2084,                 1.6758,                0.76397,                0.73589,                0.79892,                0.41967,                 1.2479,                 12.748,                 1.4153,              0.0013089,              0.0013089,              0.0013089
                      3,                 1.6312,                 1.1795,                  1.665,                0.81581,                 0.7945,                0.86537,                0.45541,                 1.2186,                 4.3108,                 1.3666,              0.0019316,              0.0019316,              0.0019316
                      4,                  1.578,                 1.0688,                 1.6155,                0.83412,                  0.802,                0.87799,                0.47165,                 1.2232,                 3.7268,                 1.3768,               0.001901,               0.001901,               0.001901
                      5,                  1.565,                 1.0398,                 1.5888,                0.82493,                0.81824,                0.87311,                0.46435,                 1.1813,                 9.0163,                 1.3267,               0.001901,               0.001901,               0.001901
                      6,                 1.5363,                 0.9976,                 1.5731,                0.86765,                0.82636,                0.90967,                0.51571,                 1.1332,                 2.6013,                 1.2873,               0.001868,               0.001868,               0.001868
                      7,                 1.5078,                0.92732,                 1.5633,                0.86627,                0.83948,                0.91215,                0.51828,                 1.0914,                 1.1104,                   1.26,               0.001835,               0.001835,               0.001835
                      8,                 1.4692,                0.89215,                  1.527,                0.86484,                 0.8376,                0.90833,                0.51751,                 1.1216,                 2.4901,                 1.2752,               0.001802,               0.001802,               0.001802
                      9,                 1.4544,                0.87302,                 1.5236,                0.82798,                0.85383,                0.90359,                0.50484,                 1.1398,                 3.0427,                 1.2866,               0.001769,               0.001769,               0.001769
                     10,                 1.4383,                0.86064,                 1.5097,                0.86781,                0.84883,                0.91544,                0.52675,                 1.1179,                 1.0425,                  1.277,               0.001736,               0.001736,               0.001736
                     11,                 1.4123,                0.82839,                 1.5004,                0.81526,                0.82636,                0.87519,                0.50177,                 1.1219,                 1.8595,                 1.2961,               0.001703,               0.001703,               0.001703
                     12,                 1.3952,                0.81621,                 1.4782,                0.85427,                0.84211,                 0.9081,                0.51817,                  1.104,                 2.0063,                 1.2546,                0.00167,                0.00167,                0.00167
                     13,                 1.3829,                0.79765,                 1.4686,                0.88701,                0.83198,                0.91541,                0.51501,                 1.1371,                 1.5232,                  1.274,               0.001637,               0.001637,               0.001637
                     14,                 1.3627,                0.77406,                 1.4613,                0.87334,                0.85509,                0.91971,                0.52969,                 1.0944,                0.80417,                 1.2553,               0.001604,               0.001604,               0.001604
                     15,                 1.3352,                0.75817,                 1.4348,                0.89441,                0.86384,                0.92653,                0.52922,                 1.1072,                  2.317,                 1.2729,               0.001571,               0.001571,               0.001571
                     16,                 1.3133,                0.74634,                 1.4181,                0.87085,                0.88695,                0.92991,                0.53598,                 1.1067,                0.97937,                 1.2659,               0.001538,               0.001538,               0.001538
